time,torso,rhip,lhip,rknee,lknee,rankle,lankle,rmtp,lmtp,rshoulder,lshoulder,relbow,lelbow,vcmx,vcmy
s,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,m/s,m/s
0.05,82.31573764776086,120.13340330458713,167.7889872228033,42.63365716722649,141.65810985374517,121.33009325741786,96.23715610134713,136.47419612082055,500.86638486864894,-38.106345597365376,10.741847693925905,257.7166216860713,255.79635706874143,9.518507124952656,0.3348616387307199
0.051,82.37660177448141,119.49420479860872,168.52753440802877,43.0842108903434,141.68730178826803,121.18931383208609,96.36138161496275,136.4611541080332,500.0339228702736,-38.71017647813433,11.119517026997485,257.7612383720192,255.98266613464426,9.518405692753385,0.3558832422270606
0.052,82.44131289239967,118.86995759681007,169.2800467940947,43.55067226675217,141.7392464458854,121.04789404516788,96.5170614812692,136.4481923623194,499.180467886141,-39.3110385153838,11.485281010025787,257.8039756117627,256.17614781244026,9.518597439631789,0.37627868831364203
0.053,82.50976694226193,118.26092208341407,170.04561932372818,44.03241675342045,141.81384982774566,120.90571893232,96.70559592871155,136.43519377071658,498.30580873180315,-39.90893068645934,11.83927309700293,257.845265074851,256.3768117834452,9.519086448480907,0.39603572132061704
0.054,82.58184672482382,117.66732654494542,170.82334521002434,44.52883798206341,141.911071445495,120.76274674511244,96.92845065625022,136.42201362467011,497.4097993020304,-40.503845200311574,12.181655686237917,257.8855498440655,256.5846615993887,9.519876657599482,0.41514133573821016
0.055,82.65742210177375,117.08936316237099,171.6123220522292,45.0393509233798,142.03092153743825,120.61901498029907,97.18713736854272,136.40847556270927,496.4923844235639,-41.09576588211512,12.51262137008412,257.92527899710706,256.7996920093217,9.52097177244504,0.4335822241114865
0.056,82.73635010147275,116.52718368329234,172.41165618908383,45.56339355619758,142.17345510846314,120.47464051647107,97.4831930317716,136.39437193983326,495.55362538740405,-41.68466659810586,12.832394157987196,257.9649023568115,257.02188625911765,9.522375145111623,0.4513451991113559
0.057,82.8184750215024,115.98089515112133,173.22046561251153,46.10042715313537,142.3387632325942,120.32981429686646,97.81815801263707,136.3794683627134,494.59372488856934,-42.270509791540576,13.141229927725604,258.00486541075827,257.2512140819826,9.524089669644843,0.46841752210007365
0.058,82.90362861189183,115.45055608400554,174.0378817522342,46.64993564134451,142.5269620880089,120.184792682187,98.19355323466738,136.36351060706193,493.61305118575933,-42.85324524813677,13.439415729739522,258.04560454144644,257.48763074474573,9.526117729650709,0.4847871038807211
0.059,82.99163040586906,114.93617345054575,174.8630504256825,47.211424698987884,142.73818024070044,120.03988839569188,98.61085648896693,136.34623155137584,492.6121614626568,-43.43280922482454,13.727268048019099,258.0875427955743,257.73107708426585,9.528461211232157,0.5004425719418558
0.06,83.08228824980272,114.43770071977609,175.69513221203135,47.784421240476945,142.97254467934096,119.89546362631981,99.07147798260517,136.3273560637977,491.59182468207166,-44.00912404025634,14.005130453063387,258.1310863692414,257.98148018686675,9.531121561588735,0.5153732193118453
0.061,83.17539906561929,113.95503716584749,176.53330240257742,48.36847370951969,143.23016594649138,119.75192658881654,99.57673504609389,136.30660268053708,490.5530446164503,-44.582098147256474,14.273371153454619,258.17662182839774,258.2387542951981,9.534099848864889,0.5295688646511247
0.062,83.27074984626003,113.4880285239307,177.37675052216784,48.96315318574045,143.5111224951903,119.60973098186562,100.12782586268128,136.28368229115523,489.49708378297777,-45.15162663588845,14.532380803889737,258.22451394871007,258.5028015990364,9.537396771935233,0.543019657288837
0.063,83.36811884458194,113.0364690149774,178.22467928201664,49.568054873149634,143.81544424894898,119.46937611176098,100.7258022383757,136.25829534100802,488.42548847345876,-45.717592073010366,14.782570673367886,258.2751040014933,258.77351271481945,9.541012574932804,0.5557158612924183
0.064,83.46727687763023,112.600104620317,179.07630274538877,50.18279925863686,144.14309532443428,119.33140481696746,101.37154183440536,136.2301296044051,487.3401140605816,-46.279865574774064,15.024371053743053,258.3287083545372,259.05076683535503,9.54494683233085,0.5676476582580126
0.065,83.56798864668723,112.17863730500302,179.93084351399196,50.80703225517084,144.4939560372223,119.19639706094256,102.06572079307281,136.19886020187602,486.243148813346,-46.83830801762561,15.258229666257094,258.3856173284972,259.3344317148682,9.549198090672352,0.5788050164255263
0.066,83.67001398893423,111.77172976865903,180.7875289154651,51.44042401841344,144.8678046667195,119.06495888279775,102.80878811474346,136.1641525157661,485.1371340189487,-47.392771304715055,15.484609803867784,258.4460942923522,259.6243637877903,9.553763386992415,0.5891776716207796
0.067,83.77310900995079,111.37901027787206,181.64558639063796,52.082666640018516,145.264299807388,118.93770833668604,103.60094318874393,136.12566769151817,484.02497869688415,-47.94309960288177,15.70398807163086,258.5103749942904,259.9204086861911,9.558637703212787,0.5987552493425115
0.068,83.87702707372968,111.00007723099735,182.50423844428516,52.733471305790175,145.68296430492796,118.81526101249591,104.44211742904011,136.08307007622636,482.90996846596977,-48.48913045542379,15.916851849581974,258.57866712101327,260.2224021902041,9.563813441920624,0.6075275310078602
