time,hip_angle,knee_angle,ankle_angle,mtp_angle
s,deg,deg,deg,deg
0.346,200.8209,155.0337,144.3906,122.0419
0.347,201.1574,155.0629,144.9507,123.1843
0.348,201.4801,155.0609,145.4644,124.2671
0.349,201.7889,155.0269,145.9321,125.2858
0.35,202.0838,154.9607,146.3549,126.2379
0.351,202.3647,154.8616,146.7339,127.1228
0.352,202.6317,154.7295,147.0706,127.9412
0.353,202.8846,154.5641,147.3668,128.6949
0.354,203.1233,154.3653,147.6243,129.387
0.355,203.3479,154.1329,147.8453,130.0207
0.356,203.5582,153.8671,148.0321,130.6
0.357,203.7542,153.568,148.1872,131.1289
0.358,203.9359,153.2358,148.3132,131.6114
0.359,204.1031,152.8708,148.4126,132.0514
0.36,204.2559,152.4734,148.4882,132.4528
0.361,204.3944,152.0441,148.5426,132.819
0.362,204.5184,151.5834,148.5784,133.1531
0.363,204.628,151.0919,148.5981,133.4578
0.364,204.7234,150.5704,148.6042,133.7356
0.365,204.8045,150.0195,148.5991,133.9883
0.366,204.8715,149.44,148.5848,134.2175
0.367,204.9245,148.8328,148.5634,134.4247
0.368,204.9638,148.1987,148.5367,134.611
0.369,204.9893,147.5386,148.5063,134.7774
0.37,205.0015,146.8535,148.4736,134.925
0.371,205.0005,146.1444,148.4399,135.0549
0.372,204.9866,145.4122,148.4062,135.1681
0.373,204.9601,144.6579,148.3733,135.2657
0.374,204.9214,143.8826,148.3418,135.3489
0.375,204.8707,143.0874,148.3124,135.4189
0.376,204.8085,142.2733,148.2852,135.477
0.377,204.735,141.4414,148.2605,135.5242
0.378,204.6509,140.5927,148.2384,135.5616
0.379,204.5563,139.7284,148.2188,135.5904
0.38,204.4519,138.8495,148.2016,135.6115
0.381,204.3379,137.9571,148.1865,135.6255
0.382,204.2149,137.0523,148.1732,135.6332
0.383,204.0832,136.136,148.1614,135.6353
0.384,203.9433,135.2093,148.1505,135.6321
0.385,203.7957,134.2732,148.1402,135.6243
0.386,203.6406,133.3287,148.1298,135.6121
0.387,203.4786,132.3766,148.1188,135.596
0.388,203.3101,131.4179,148.1068,135.5763
0.389,203.1353,130.4535,148.093,135.5534
0.39,202.9546,129.4841,148.077,135.5277
0.391,202.7684,128.5105,148.0582,135.4996
0.392,202.577,127.5335,148.0362,135.4696
0.393,202.3806,126.5537,148.0103,135.4381
0.394,202.1794,125.5718,147.9802,135.4057
0.395,201.9738,124.5884,147.9454,135.3728
0.396,201.7638,123.604,147.9056,135.34
0.397,201.5497,122.619,147.8606,135.3077
0.398,201.3315,121.6339,147.81,135.2762
0.399,201.1093,120.649,147.7537,135.2461
0.4,200.8832,119.6647,147.6916,135.2175
0.401,200.6533,118.6813,147.6235,135.1908
0.402,200.4195,117.6989,147.5496,135.166
0.403,200.1818,116.7177,147.4696,135.1435
0.404,199.9401,115.738,147.3839,135.1232
0.405,199.6944,114.7597,147.2924,135.1052
0.406,199.4446,113.7829,147.1952,135.0897
0.407,199.1906,112.8076,147.0926,135.0764
0.408,198.9322,111.8339,146.9847,135.0656
0.409,198.6693,110.8617,146.8718,135.0569
0.41,198.4017,109.891,146.7539,135.0505
0.411,198.1293,108.9217,146.6315,135.0461
0.412,197.8519,107.9538,146.5048,135.0435
0.413,197.5694,106.9872,146.374,135.0427
0.414,197.2816,106.0218,146.2394,135.0433
0.415,196.9884,105.0576,146.1013,135.045
0.416,196.6896,104.0945,145.96,135.0477
0.417,196.3851,103.1325,145.8156,135.0511
