485,11,,,,,,,,,
Time,rHAT,lHAT,RHip,LHip,RKnee,LKnee,RAnkle,LAnkle,RMTP,LMTP
0.177,85.6554,84.16351,122.9105,197.3947,154.8264,104.2616,118.4294,148.482,129.8035,138.5713
0.178,85.62342,84.18156,123.3412,197.12,155.4346,103.299,118.5053,148.2989,129.7832,138.5777
0.179,85.5914,84.20012,123.7683,196.8413,156.0163,102.3384,118.5846,148.1101,129.764,138.5846
0.18,85.55932,84.21907,124.1914,196.5583,156.5709,101.3797,118.6667,147.9158,129.7458,138.5921
0.181,85.52715,84.23826,124.6104,196.2706,157.0981,100.4229,118.7515,147.7165,129.7283,138.6
0.182,85.49488,84.25757,125.0247,195.978,157.5976,99.46812,118.8385,147.5126,129.7112,138.6082
0.183,85.46247,84.27686,125.4342,195.6803,158.0689,98.51523,118.9274,147.3043,129.6943,138.6167
0.184,85.4299,84.29601,125.8385,195.377,158.512,97.56428,119.0182,147.0921,129.6772,138.6255
0.185,85.39717,84.31491,126.2374,195.0681,158.9266,96.61529,119.1106,146.8761,129.6595,138.6345
0.186,85.36425,84.33345,126.6307,194.7532,159.3126,95.66828,119.2045,146.6567,129.6409,138.6439
0.187,85.33114,84.35151,127.018,194.4321,159.6698,94.72327,119.2998,146.4342,129.6211,138.6535
0.188,85.29781,84.369,127.3992,194.1047,159.9983,93.78029,119.3966,146.2086,129.5997,138.6635
0.189,85.26428,84.38583,127.7741,193.7706,160.2981,92.83941,119.4949,145.9802,129.5764,138.674
0.19,85.23052,84.40191,128.1427,193.4298,160.5692,91.90066,119.5947,145.7492,129.5509,138.685
0.191,85.19654,84.41716,128.5047,193.082,160.8119,90.96412,119.6959,145.5157,129.523,138.6967
0.192,85.16235,84.43151,128.8601,192.7271,161.0263,90.02985,119.7988,145.2797,129.4923,138.7092
0.193,85.12793,84.44488,129.2089,192.3648,161.2127,89.09794,119.9033,145.0414,129.4588,138.7226
0.194,85.0933,84.45722,129.551,191.9952,161.3715,88.16851,120.0095,144.8008,129.4221,138.7371
0.195,85.05846,84.46848,129.8864,191.6181,161.503,87.24165,120.1175,144.5579,129.3822,138.7528
0.196,85.02343,84.47861,130.2153,191.2333,161.6078,86.31751,120.2273,144.3128,129.3389,138.7698
0.197,84.98823,84.48759,130.5376,190.8407,161.6863,85.39623,120.3389,144.0655,129.2922,138.7882
0.198,84.95286,84.49536,130.8536,190.4404,161.7393,84.47797,120.4523,143.8159,129.2421,138.8081
0.199,84.91734,84.50193,131.1635,190.0322,161.7673,83.5629,120.5675,143.5641,129.1886,138.8295
0.2,84.88171,84.50727,131.4674,189.6162,161.7711,82.65122,120.6845,143.31,129.1319,138.8526
0.201,84.84597,84.51139,131.7656,189.1922,161.7516,81.74313,120.8032,143.0537,129.072,138.8774
0.202,84.81015,84.51428,132.0584,188.7603,161.7096,80.83886,120.9236,142.7952,129.0094,138.9038
0.203,84.77428,84.51595,132.3462,188.3205,161.6461,79.93864,121.0455,142.5345,128.9444,138.932
0.204,84.73839,84.51643,132.6293,187.8727,161.5622,79.04273,121.1688,142.2715,128.8775,138.9618
0.205,84.70251,84.51575,132.9083,187.4171,161.459,78.15138,121.2933,142.0064,128.8095,138.9932
0.206,84.66666,84.51393,133.1835,186.9536,161.3376,77.26488,121.4188,141.7391,128.741,139.0263
0.207,84.63088,84.51102,133.4554,186.4823,161.1993,76.3835,121.5451,141.4697,128.6732,139.0609
0.208,84.59521,84.50706,133.7247,186.0034,161.0453,75.50753,121.6719,141.1983,128.6072,139.0971
0.209,84.55968,84.50211,133.9919,185.5167,160.877,74.63729,121.7988,140.9249,128.5443,139.1347
0.21,84.52433,84.49622,134.2576,185.0225,160.6959,73.77308,121.9254,140.6496,128.486,139.1737
0.211,84.4892,84.48946,134.5224,184.5208,160.5032,72.91521,122.0513,140.3725,128.4341,139.214
0.212,84.45432,84.48188,134.7871,184.0116,160.3005,72.06401,122.1758,140.0938,128.3907,139.2555
0.213,84.41973,84.47355,135.0523,183.4952,160.0892,71.2198,122.2983,139.8135,128.3577,139.2982
0.214,84.38547,84.46454,135.3187,182.9715,159.8709,70.3829,122.418,139.5318,128.3377,139.3418
0.215,84.35157,84.4549,135.587,182.4407,159.6469,69.55366,122.5341,139.2488,128.3332,139.3864
0.216,84.31806,84.4447,135.8579,181.9029,159.4188,68.7324,122.6455,138.9646,128.347,139.4318
0.217,84.28497,84.43399,136.1322,181.3581,159.1879,67.91944,122.7512,138.6795,128.382,139.4779
0.218,84.25233,84.42283,136.4104,180.8064,158.9557,67.11512,122.8499,138.3936,128.4413,139.5246
0.219,84.22015,84.41126,136.6932,180.2479,158.7234,66.31975,122.9402,138.1071,128.5282,139.5718
0.22,84.18845,84.39933,136.9814,179.6827,158.4923,65.53365,123.0205,137.8201,128.6459,139.6195
0.221,84.15723,84.38705,137.2754,179.1107,158.2636,64.75715,123.0893,137.5329,128.798,139.6676
0.222,84.1265,84.37447,137.5758,178.5321,158.0382,63.99053,123.1447,137.2457,128.9878,139.7159
0.223,84.09625,84.36158,137.883,177.9468,157.8172,63.23412,123.1849,136.9586,129.2188,139.7643
0.224,84.06647,84.34839,138.1976,177.3549,157.6013,62.4882,123.2077,136.6718,129.4941,139.8129
0.225,84.03714,84.33489,138.5199,176.7563,157.3912,61.75306,123.2112,136.3856,129.8171,139.8614
0.226,84.00822,84.32104,138.8502,176.151,157.1874,61.02897,123.193,136.1002,130.1904,139.9097
0.227,83.97966,84.30682,139.1885,175.539,156.9901,60.31621,123.1509,135.8157,130.6168,139.9579
0.228,83.95142,84.29217,139.5352,174.92,156.7997,59.61502,123.0827,135.5323,131.0983,140.0058
